1147: 731,203,135
1: 531,701,88,980,371
2: 761,990,550,439,1022
3: 860
4: 117,1152,330
5: 479,525,586,67
6: 855,1036,1171
7: 627,610
8: 695,926,746
9: 1164
10: 864,26,995,671
11: 216,29,491,194,983
12: 548,554
13: 783
14: 403,1070,810
15: 931,157,960,475
16: 256,213
17: 1145,305,156
18: 506,509
19: 388,1128,1139,774,255
20: 493,424,1034
21: 941,930,810
22: 859,644,1097,425
23: 594,851,68,1044
24: 348
25: 232,931
26: 864,10,472,444,315,995
27: 878,502,682
28: 974,1045,567,1001,719
29: 1033,491,1144,194,11
30: 1136,891
1175: 122,801
32: 722,668
33: 253,769,817
34: 905,713
35: 589
1162: 1012,674,644,562
37: 903,366,462,572,548
38: 81,634
39: 820,686,467,842
40: 174,384,62
41: 434,595
1082: 1084,1146,49,360,221,107
43: 615,1079,551,962
44: 373,657
45: 568,499
46: 123,80
47: 295
1043: 154,641,898,281,355
49: 1084,1082,221,688,918,890
50: 294,898,593,183
51: 828,764
52: 1133,364,1106,307
1068: 156,528
54: 855,806
55: 585
56: 276
57: 585,222,369,993,315,81
58: 567,946
59: 179,783
60: 643,863,625,505
61: 751,733,301,818
62: 384,119,40
63: 1057,881,363
1011: 920,566
65: 963,611,410
1085: 367,1159
67: 159,586,5
68: 1044,594,23
69: 994,580
1163: 1038,1178,345,1150
71: 703,726,135
72: 870,1097,743
73: 223,212,115
74: 669,407,673
75: 124,100,894
76: 837
77: 1124
78: 1158,247,394
1134: 637,1003,544,499
80: 466,46,1169
81: 38,369,57,222
1136: 30,863,1002
83: 868,501
84: 619,678,825,802,437,266
85: 394
1137: 855,1036,645,806
87: 257,743,477,982,944
88: 352,1,980
89: 482,386,291
90: 733,162,110
1014: 420,417,533,416
92: 507,559
93: 889,1047,700,546
94: 262,362,622,854,580
1170: 280,631,778
96: 304,951
1099: 935,1031,230,527,860
1064: 396,349
99: 1132,1021,337,913,158
100: 593,1083,75,124
101: 627,288
102: 575,168,725
103: 314,523
104: 1127,426
105: 327,578,465,1141
106: 838,570,736
107: 338,360,1082,1146
108: 161
109: 1075,848
110: 90,162
111: 1037,793,947,955
112: 
113: 350,962,957,779
114: 973,245,538,1013
115: 73
116: 744,326,339,970,381
117: 4,574,1013
118: 321,913,1053,799
119: 590,948,62
120: 1093,999
121: 669,853,427,1019
122: 415,801,1175,420
123: 848,996,46
124: 75,1083,649,100
125: 987,478,485
126: 900,142
127: 133,218,1057
128: 374,452,954,856,877
129: 959,629,552,476,1045
130: 747,497,450,287,391
131: 246,757
132: 525,586,311,1092,227
133: 127,899,139,510
1125: 924,562,1086
135: 203,1147,71
1098: 767,215,746,246,1030
137: 782,438,175
138: 736,904,1017,619,266,838
139: 866,133,899,730,510
140: 592,386,482
1060: 335,741,1077,508
142: 245,126,538
1093: 120,999,170,1071
144: 147,1128
145: 977,942,460,964
1169: 429,275,80
147: 1128,1139,144
148: 339,927
1038: 1163,167,716
1155: 645,250
151: 558,835,897
1086: 910,180,511,924,1125
153: 876,739
154: 969,641,1043,667,355,533
155: 503,530
156: 1068,528,17,1145
157: 15,931,475,823
158: 99
159: 67,309,586,441,522
160: 204,1009
161: 108,1160
162: 733,90,110,751
163: 563,702,189,869,882
164: 823,607,422
165: 546,483,613,616,259,297
1153: 940,665,465
167: 1038,716,290
168: 822,1061,102
169: 527,975
170: 551,1093,1071
1107: 1069
172: 772,549,1055,517,428,1010
173: 825,893,1027
174: 40,399
175: 781,776,137,242
1096: 333,555
177: 615,186,1150
178: 332
179: 59,783,426
180: 599,511,859,1086
181: 620,1177,597
1081: 878,332
183: 593,50,231
1089: 
185: 
186: 177,615,1079
187: 219,327
1154: 666,824,575,725,524
189: 1168,163,1145,305,869
190: 550,412
191: 425,693,423,859
192: 829,296,1049
193: 992,502
194: 983,29,11
195: 457,596
1048: 459,318
1059: 568,1173,555
198: 298,413,1023
199: 868,966
200: 908,1129
201: 879,570
1078: 524,404,1113
203: 731,1147,642,135
204: 1009,160
205: 371,445,717
1016: 409,611,726
207: 1161,1103,940
208: 1046
209: 520
210: 607,225,424,605
211: 709,512,905,701,713
212: 73,223,270,336
213: 16,256
214: 1111,815,835,599
215: 767,1098,926,1176,746
216: 691,11,983,331
217: 932,402,664
218: 1164,127,1057,306
219: 187,327
220: 948,377
221: 688,360,1082,49
222: 57,585,81
223: 73,212,336
224: 607,232,823
225: 601,210,493,424
226: 497,672
227: 282,132,311
228: 316,807,656
229: 937,513
230: 485,527,1031,1099
231: 667,355,898,183
232: 25,658,769,224
1168: 702,189,380
234: 689,516,759
235: 748,1119,359
236: 329,368,676
1061: 739,822,168,790
1004: 563,732,1115,663
239: 749,1026
240: 1122,451,689
241: 718
242: 175,776,253
243: 440,755,1066,1112,971
1150: 345,1163,177
245: 675,142,114,973,538
246: 131,1098,1030
247: 727,858,394,78
248: 821,1029,473,357
249: 269
250: 645,1155,467,1120
1083: 259,649,124,100
1035: 709,512,320
253: 33,242,776,817
254: 497,489
255: 774,19
256: 16,786,1024,213
257: 1097,87,743,395
1007: 1176
259: 297,1083,649,165,483
260: 1172,847
261: 
262: 94,362
1143: 651,665
264: 717,980
1114: 
266: 802,84,619,138,838
267: 718,322
268: 329
269: 249
270: 212,396
271: 691,331
272: 308,949,412
1101: 498,1018,689,479
1131: 1130,1030,632
275: 429,1169,912
276: 56
277: 1033,914,569,449
1102: 970,766,1149,1069
1126: 1158,630,560
280: 1170,631,778,981
281: 399,641,1043
282: 227,311
283: 554,797,341,949
284: 816,427,933
1119: 359,235,748
286: 779,957
287: 489,526,130,391,446
288: 401,101
289: 878,1039,682
290: 803,167
291: 818,1117,89
292: 600,1008,849
1052: 1109,1073,843
294: 898,50
295: 47
296: 1115,1049,192
297: 259,649,165,616,795
298: 198,849,1023,600
299: 
300: 520,1041,1062
301: 733,61,818
1139: 1128,19,1032,918,147
303: 740,1165,985,1148
304: 96,706,928,951
305: 17,1145,189,869
306: 881,218,1164
307: 986,52,1106
308: 949,272,412
309: 159,441
310: 935,1031,982,395
311: 132,1092,227,282
312: 459,1006
313: 905
314: 103,941
315: 444,993,26,57,585,995
316: 228,807,553
1049: 1115,296,351,556,829,192
318: 1048
1070: 403,14,930,810
320: 709,1035,352
321: 118,1053,567,946,974
322: 416,267,718
323: 347,780,875,370,486,917
324: 687
1028: 422,887,604,965
326: 744,116,970
327: 105,187,219
328: 476,1044
329: 368,236,268
330: 1152,1039,4
331: 216,901,271
332: 178,1081
333: 1096,748
334: 805,1054
335: 1060,741,734
336: 223,212
337: 1165,1148,1132,99,1088
338: 107,1146
339: 927,148,116,381
340: 963,1056,409,611
341: 949,283
1024: 786,256,879
1037: 111,430,747,947
1103: 207,940,635
345: 1150,372,1178,1163
346: 559,578,1174,961
347: 447,984,780,323
348: 948,377,24,942
349: 1064,535
350: 113,779,565
351: 556,1049
352: 88,320,709
353: 742
1151: 581
355: 667,231,898,154,1043
356: 367
357: 866,912,473,248,1029
358: 
359: 1119,235
360: 1002,221,107,1082
1005: 633,670,431
362: 94,262
363: 681,812,63
364: 52,1106
365: 923,421,1025
366: 37,903,753
367: 557,1085,356
368: 329,236,676
369: 516,993,81,57
370: 875,323,486
371: 205,531,1,980,699
372: 1178,345
373: 44
374: 452,128,877,587
1128: 388,19,1139,147,144
376: 428,469,519,952,1144
377: 348,948,942,220,939
1160: 397,161,528
1006: 815,459,312
380: 397,1168,528
381: 116,339,970
1164: 218,9,306
1077: 1060,741,508
384: 62,40,399,807
1074: 775
386: 140,592,482,89
1033: 29,277,519,569,1144
388: 1128,19,774
1066: 440,243,923,971
390: 704
391: 572,446,130,450,287
392: 932,402,715
393: 
394: 858,247,78,85
395: 425,310,935,257
396: 1064,535,270
397: 1160,380,528
398: 730,545
399: 281,174,384,807
400: 621,1135
401: 288
402: 392,217,967,715
403: 14,1070,670
404: 991,1113,1062,824,524,1078
405: 
1075: 109,848
407: 74,851
1110: 
409: 611,1016,1056,340,726
410: 455,65
411: 561,750,925
412: 308,272,190
413: 198
1032: 918,890,1139
415: 122,969,420,533
416: 322,417,1014
417: 533,1014,667,416
418: 459
419: 656
420: 533,1014,122,415
421: 365,1025
422: 1028,164,605,777
423: 1111,191,599
424: 493,20,225,210,605
425: 395,191,859,22
426: 104,1127,179
427: 284,121,1019
428: 376,469,549,172,517,952
429: 275,1169,466,899
430: 1037,826
431: 537,921,1005
1084: 1082,1146,49,918,534
1030: 1131,1130,1098,632,246
434: 41,584,700
1135: 621,400,680,683
436: 595,796,791
437: 802,84
438: 720,137,782
439: 646,1022,2,761,729
440: 755,243,934,1066
441: 522,159,309
442: 1152,737
443: 814,620
444: 993,315,26,472
445: 205
446: 572,391,287
447: 347,738,875
448: 1042,681,812
449: 680,277,683
450: 947,747,130,391
451: 1122,240,490
452: 374,128,1008,954,600
453: 
454: 687
455: 729,608,410
456: 
457: 195
458: 624,876
459: 1048,418,1006,312
460: 964,145
461: 794,841
462: 37,903,548
463: 925,704,547
1067: 1002,891
465: 1141,105,665,1153
466: 80,429,899
467: 250,39,820
1079: 615,186,962,43
469: 428,376,1025,519
470: 793,654
1130: 1131,1030
472: 864,26,444
473: 912,821,248,357
474: 633,670,501,868
475: 960,15,157,755
476: 328,1044,959,129
477: 779,565,944,87
478: 125,485
479: 689,5,1092,1101,1018,525
480: 
481: 596,967
482: 140,386,89
483: 165,659,259,1157
484: 663,1026
485: 230,125,478
486: 370,323,917
1017: 138,904,789,612,619,678
1165: 303,337,740,1133
489: 287,526,497,254
490: 790,451,1124
491: 952,1144,1138,29,11
1091: 
493: 424,20,225,601
1156: 579,1000,1161
495: 928,934,960
1069: 766,1102,1107
497: 130,672,226,254,489
498: 1101,1018
499: 1134,45
500: 991,1113,1140,695
501: 837,633,474,83,868
502: 773,193,27
503: 155,530
1112: 887,243,971
505: 616,795,762,1095,60
506: 18,745
507: 920,961,559,92
508: 1060,1077
509: 18
510: 788,139,133,730
511: 180,599,972,1086
512: 211,709,1035
513: 888,937,229
1012: 1162,562,676,937
1158: 1126,78
516: 369,234,759
517: 172,428,952,1010
518: 788
519: 569,376,469,1033,1144
520: 300,209,1041
521: 
522: 441,159
523: 103,1040
524: 725,1078,1154,824,404
525: 586,132,1092,5,479
526: 287,489,867
527: 169,230,1099
528: 156,1068,1160,397,380
529: 757,1173,618
530: 666,155,503
531: 701,1,713,371,699
1115: 296,1049,556,1004
533: 420,417,1014,969,154,415
534: 1084,1146
535: 396,349
1010: 172,1055,517,1167
537: 431,801,921
538: 245,142,114
1047: 93,889,546,659
540: 720
1023: 849,671,198,298
542: 873
1092: 1018,525,132,311,479
544: 1134,1003
545: 874,398,786
546: 165,659,93,1047,613
547: 925,463,772,750
548: 12,572,37,462
549: 772,172,428
550: 190,2,990
551: 170,987,43
552: 909,629,1053,974,1045,129
553: 684,316,656,628
554: 12,797,283
555: 1096,1173,1059
556: 351,592,1115,1049
557: 367
558: 151
559: 346,578,961,507,92
560: 630,1126
561: 411,750,1167,1055
562: 924,1125,644,1162,1012
563: 163,1004,663,882
1133: 52,740,1165
565: 982,350,779,477
566: 920,1011
567: 946,58,321,28,974,1001
568: 1059,45
569: 519,914,1033,277
570: 106,201
1117: 818,291
572: 391,446,37,548
573: 902,654
574: 1013,117
575: 1154,725,102
576: 
1140: 1041,500,991
578: 346,559,105,1141
579: 1156,1000,1161
580: 854,69,622,94
581: 1151
1036: 6,855,1137,1171
583: 1022
584: 1095,613,700,434
585: 57,222,315,995,55
586: 525,132,5,159,67
587: 374,877
1124: 490,77
589: 734,741,35
590: 119
591: 813
592: 140,386,556
593: 100,183,50
594: 23,68
595: 436,791,41
596: 481,831,195
597: 814,620,181
598: 681,1042
599: 180,511,423,214
600: 292,1008,452,298
601: 225,493
602: 737,1166,771,603
603: 602,1166,771
604: 914,884,965,777,1028
605: 210,607,424,422
606: 1073,1088,913
607: 210,224,823,164,605
608: 829,761,729,455
1009: 204,160,885
610: 856,7
611: 409,1016,65,340
612: 904,1017
613: 1095,584,700,546,165,616
1172: 260,847
615: 177,1079,186,43
616: 505,795,1095,613,165,297
1055: 772,172,561,750,1167,1010
618: 529,757,637
619: 84,678,138,1017,266
620: 181,814,443,597
621: 1135,400
622: 580,94
623: 924,910
624: 458,822
625: 692,60,863
1046: 208
627: 101,870,7
628: 553,656
629: 909,552,653,129
630: 560,1126,813
631: 280,1170,981
632: 1131,1030
633: 670,1005,837,501,474
634: 759,38
635: 1103
1025: 365,421,887,469
637: 1134,1003,618
638: 1019,954,673
639: 1109,1148
640: 966
641: 969,154,1043,281
642: 731,203
643: 60,863
644: 22,674,1162,562
645: 250,1155,1137
646: 439,1022
1021: 1132,99,913,876
648: 764,956
649: 259,297,1083,795,124
650: 749
651: 1143
652: 805
653: 803,629
654: 793,470,902,573
1045: 28,974,1053,552,129
656: 419,228,553,628
657: 44
658: 232,769
659: 546,483,1047
1145: 17,305,189,156
1031: 310,935,1099,230
662: 1108
663: 484,563,1004
664: 967,1034,217
665: 940,1153,465,1143
666: 1154,530,824
667: 231,355,154,417
668: 32
669: 121,74,1019,673
670: 633,1005,403,474
671: 10,1023
672: 747,497,226
673: 669,74,638,1019
674: 870,644,1162
675: 900,245
676: 937,236,1012,368
1161: 207,579,1156,1000
678: 84,619,1027,789,1017
1111: 423,815,214
680: 449,862,1135,683
681: 363,812,598,448,1042
682: 1039,27,289
683: 449,680,1135
684: 553
1132: 99,1021,337,986
686: 842,848,39
687: 324,454
688: 221,49,890
689: 234,479,1101,240
1029: 248,357,866
691: 216,271
692: 886,625
693: 935,860,191
1104: 981
695: 8,500
1121: 796,791
697: 921
1176: 926,1007,215
699: 531,371
700: 584,613,434,93
701: 531,1,713,211,709
702: 1168,732,163
703: 71,726
704: 390,976,463
1026: 484,239
706: 1042,304
1022: 646,439,583,2
1144: 952,491,519,376,1033,29
709: 211,512,1035,320,352,701
1171: 6,1036
711: 
1173: 529,1059,555
713: 531,701,211,905,34
714: 
715: 831,392,402
716: 775,167,1038
717: 264,205
718: 267,241,322
719: 933,28,1001
720: 540,438,782
721: 929,1129,945
722: 32
1129: 929,721,953,908,200
1157: 483
725: 524,1154,575,102
726: 703,71,1020,409,1016
727: 247,731,858
1142: 796,907,886
729: 455,761,439,608
730: 398,139,866,510
731: 203,1147,642,727,858
732: 702,1004
733: 90,162,751,61,301
734: 589,335
735: 744,927
736: 138,838,106
737: 602,442
738: 875,447
739: 822,1061,153
740: 303,1165,985,1133
741: 335,1060,1077,589
742: 353,900
743: 1097,257,87,944,72
744: 116,326,735
745: 506
746: 926,8,215,1098
747: 130,672,1037,450
748: 235,333,1119
749: 650,239
750: 411,561,547,925,772,1055
751: 61,733,162
1097: 257,743,72,22
753: 366
1159: 926,1085
755: 440,243,475
756: 844
757: 529,131,618
758: 961
759: 234,516,634
760: 
761: 2,990,439,608,829,729
762: 505,795
1088: 1073,606,337,1109,1148
764: 648,51,827
1095: 584,613,505,616
766: 1149,1102,1069
767: 215,1098
1108: 1105,662
769: 33,232,658
770: 
771: 602,603
772: 549,172,1055,547,750
773: 502
774: 255,388,19
775: 716,1074
776: 781,175,242,253
777: 422,850,604
778: 841,794,280,1170
779: 286,477,113,350,565
780: 347,984,323,917
781: 175,776
782: 137,720,438
783: 13,179,59
1120: 250,820
1027: 789,893,173,678
786: 256,1024,545
787: 
788: 510,518
789: 1027,678,1017
790: 490,1061
791: 796,1121,436,595
1019: 638,427,121,669,673
793: 654,470,111,955
794: 461,1000,841,778
795: 505,616,762,297,649
796: 791,1142,1121,436
797: 554,283
798: 819,864
799: 909,118
1034: 664,20,850
801: 122,1175,537
802: 437,266,84
803: 653,290,843
1041: 520,300,1140
805: 652,334
806: 54,855,1137
807: 316,228,384,399
1062: 991,404,300,824
1015: 
810: 21,14,1070
1106: 844,364,52,307
812: 681,363,448
813: 630,591
814: 443,597,620
815: 835,1006,1111,214
816: 284
817: 253,33
818: 1117,291,61,301
819: 798,933
820: 39,467,1120
821: 248,888,473
822: 739,168,1061,624
823: 164,157,607,224
824: 666,1154,404,1062,524
825: 173,84
826: 964,430
827: 764
828: 1056,51
829: 608,192,761,1049
1138: 952,491
831: 715,596
832: 850,884
1057: 63,127,218
1141: 465,578,105
835: 815,897,151,214
1113: 500,991,404,1078
837: 76,501,633
838: 106,138,736,266
1020: 726,1056
