0: 797,76,867,83
1: 70,352,320,657
2: 583
3: 244,527,169,860,935
4: 117,289
5: 240,234,689,586,159,67
6: 855,806
7: 288,627,101
8: 1098,215,150
9: 218,306,922
10: 671,849,995
11: 216,952,29,1020,376
12: 867,572,865,797
13: 309,480,131,1096
14: 403,614
15: 224,607,232,157
16: 786,510
17: 305
18: 362,622,94
19: 774,388,708,295
20: 784,871,664,850
21: 883,1034,420,122,941
22: 859,1097
23: 959,476,851,186,594,68
24: 119,1009,348,948
25: 232,658,201,754
26: 
27: 878
28: 974,552,1053
29: 194,1020,376,983,216,11
30: 1067
31: 933,819
32: 873,308,668
33: 225,769,253,493,770
34: 313,905,1024
35: 318,1077,233,1012,811
36: 1098,767
37: 391,572,865,1017
38: 222,57,759
39: 820,936
40: 220,399,281,316,174
41: 436,692
1082: 107,338
43: 615,551,68,113
44: 320,509,724,471
45: 499,595,791
46: 80,91,429,64,123,996
47: 144
1043: 399,258,486,917,384
49: 221,360,688
50: 898,483,259,593
51: 400,299,827
52: 986,364,458,307,624,1021
1068: 156,161
54: 897,1090,1087
55: 361,995,671
56: 
57: 585,38
58: 710,492
59: 994,441,179
60: 863,643,1095,616
61: 733,1013,751,90
62: 948,1005,684
63: 1057,306,881,922
64: 429,123,46
65: 963
1085: 356,500,300,367
67: 1018,634,1046,234,5,159
68: 594,962,186,43,23
69: 222,1030,622,854
70: 1,709,373,352
71: 726,703,661
72: 743,1044,206,627,541
73: 223,212,115
74: 121,401,673,1008
75: 890,918,894,774,708,255
76: 0,83,722
77: 1045,1061,492,375
78: 813,394,85
79: 832,884,1025,277
80: 91,133,46,429
81: 362,585,222
82: 1019,447,580,780,347
83: 0,76
84: 888,487,438,266
85: 394,78,591
86: 700,546,165,453,584,659
87: 257,477,982,944
88: 657,205,711,717
89: 1094,380
90: 148,733,61,927
91: 80,133,46,269,996,466
92: 507,559
93: 584,889,434,359
94: 854,622,18,347
95: 958,945,929,1026,271,1010
96: 304
97: 724,590
1064: 396,589,1031
99: 158,696,458,606
100: 593,1083,1040,267
101: 856,435,7
102: 168,524,1061,325,1078,375
103: 314,142,723,523
104: 1003,160,875,1038
105: 760,465
106: 736,677,838,1028
107: 1082,360
108: 
109: 1075,897,835,151
110: 614,162
111: 947,955,793
112: 334,1054
113: 779,43,551,350
114: 574,538,330,245
115: 73
116: 744,326,970,381
117: 4,330
118: 799,909
119: 24,984,780,1009
120: 405,999,1093,588
121: 957,74,853,407,638,673
122: 415,419,420,21
123: 842,64,46,996
124: 885,1047,294,898,483
125: 987,230,485,478
126: 416
127: 133,218,466
128: 374,954,284,433,877,856
129: 328,959,166
130: 450,1017,747,391
131: 1096,480,13
132: 227,150,282,311,522
133: 80,91,899,127,466
134: 299,827,285,340
135: 203,642,1056,800,703
1098: 36,8,215,767
137: 540,768,263
138: 821,266,781
139: 398,730
140: 592,581,556
1060: 335,741,508
142: 538,103,314,723
1093: 999,120,1071
144: 178,47
145: 964,264,1023,711,942
146: 1080,680
147: 534,1014,295
148: 90,301,685
1038: 258,486,370,160,104
150: 132,227,1007,282,8
151: 599,558,214,835,109
1086: 644,674,910,924
153: 876,913,564
154: 231,667,1039,488,969
155: 666,530,575,822
156: 1068,189
157: 755,15,607
158: 696,99,337,639,606,1088
159: 586,5,67,1046
160: 235,1003,104,486,1038,204
161: 528,189,1068
162: 733,110,751
163: 563,882,869
164: 422,823,1033,887,604
165: 86,546,659,1047
166: 816,129
167: 
168: 102,725,822,739,1061,790
169: 349,527,3,244
170: 987
171: 573,379,430,445
172: 772,549,428,1055,517
173: 368,893,1024,487
174: 316,488,40,1039,641,281
175: 1042,776,437,242,263,253
1096: 555,333,131,13
177: 615
178: 144,342
179: 59,994
180: 191,693,423
181: 721,597
1081: 332
183: 231,355,1063,267
184: 780,347,984
185: 530
186: 1079,476,23,68
187: 578,881,922
188: 1011,1057
189: 161,528,156
190: 272,1022
191: 180,425,859
192: 663,296,608
193: 502,388,515
194: 29,569,1020,764,648
195: 596,457,481
1048: 282,824,991,695
1059: 
198: 298
199: 640,966
200: 491,517,952
201: 570,1028,879,25,658,754
1078: 325,498,102,524,479
203: 642,135,727,276,731,800
204: 885,659,235,160,486
205: 88,657,980,371,1001,717,379
206: 288,627,72,743
207: 579
208: 637,1058
209: 300,1062
210: 224,931,424,605
211: 701,905
212: 73,223,270
213: 1029,706
214: 815,423,835,599,151
215: 926,767,1098,8
216: 331,952,11,29,983
217: 932,462,664
218: 9,127,1057,306
219: 998,327,651
220: 384,40,1009
221: 360,49,643,688
222: 69,38,81,622
223: 73,212,336
224: 15,931,210,607,232
225: 33,769,424,770,931
226: 880,826
227: 132,150,1007,522,632
228: 628,684,316,656
229: 236,676,937
230: 125,485,535
231: 154,183,355,667
232: 25,15,224,931
233: 1031,589,1077,35
234: 240,5,516,1018,67
235: 1003,160,453,659,204
236: 870,676,644,674,229,937
1061: 1045,77,790,102,168,375
238: 690,735,1065
239: 749
240: 234,689,5,498,451,516
241: 718,267,322,378
242: 782,263,175,817,253
243: 971,1035,440,1066
244: 3,169,975
245: 973,675,114
246: 1007,632,757
247: 1026,271,691,727,858,731
248: 357,912
249: 454,936,414
250: 358,820,687
1083: 1040,297,259,593,100
252: 862,621,400
253: 33,769,242,175,817
254: 497,1005,489
255: 75,322,894,774
256: 879,382,495
257: 1097,87,395
258: 323,486,1038,370,1043
259: 50,483,297,1083,593
