1147: 731,203,858,1016
1: 531,701,88,980,371
2: 439,583
3: 975,1111,423
4: 117,1152
5: 525,586,67
6: 1137
7: 627,610
8: 1130,746,500,695,150,282
9: 1164
10: 864,26,849,995
11: 194,983,29,491
12: 548,554
13: 783
14: 403,1070,810
15: 931,157,1042,960,475
16: 786
17: 1145,305,156
18: 506,1008,509
19: 388,1128,1139,774,255
20: 664,777,850
21: 930,801,1070,810
22: 859,1097,425,644
23: 186,476,68,851,1045,594
24: 348
25: 232,658,1024,201
26: 864,10,472,444,315,995
27: 878,502
28: 974,816,719
29: 569,1144,277,449,194,11
30: 863,1067,1136
31: 427,292
32: 722,668,1151
33: 253,817,769
34: 905,313,173,1017
35: 589
1162: 674,644,562
37: 903,366,572,548,462
38: 81,634
39: 820,686,467,842
40: 174,1037,384,807
41: 434,595
1082: 1084,1146,360,49
43: 615,962,551,113,1031
44: 373,657
45: 499,568
46: 123,80
47: 295
1043: 370,323,486,885,204
49: 221,360,688,890,1082,918
50: 898,1047,593,231
51: 764,1033,299,828
52: 1133,364,1106,307
1068: 156,528
54: 855,806
55: 585,1008
56: 276
57: 585,222,369,315,81
58: 1021,77
59: 179,783
60: 863,643,625,505
61: 751,733,301,818
62: 119,984,917,780,384
63: 1057,881,363
64: 1012
65: 963,611
1085: 367,557
67: 159,586,5
68: 1079,962,186,23,594
69: 994,580
1163: 167,177
71: 703,726
72: 870,1097,743
73: 223,212,115
74: 669,407,1044,673
75: 124,894,241
76: 837,1005
77: 58,1124
78: 1158,247,1010,394
1134: 637
80: 466,46,1169
81: 38,57,222
1136: 221,360,30,863,1067
83: 501,868
84: 619,266,802,437
85: 858,394,1016
1137: 6,855,806
87: 257,743,982,477,944
88: 352,1,980
89: 482,386,291
90: 733,162,110,238
1014: 353,742,322,718
92: 507,559
93: 889,700
94: 262,362,622,854,580
1170: 280,778,631
96: 951,390
1099: 982,310
1064: 396
99: 1132,158,913
100: 593,183,241,267
101: 627,288
102: 575,168,725
103: 
104: 1127,426
105: 327,578,465,1141,760
106: 838,570,736,1029
107: 338,1146
108: 161
109: 1075,848
110: 238,90,162
111: 793,947,955
112: 334,1054,1046
113: 551,350,43,962,1031,286,779
114: 973,245,538
115: 73
116: 744,326,339,970,381
117: 4,574
118: 1053,799,321
119: 62,384
120: 1015,999,1093,405
121: 669,853
122: 420
123: 848,996,46
124: 1002,75,1083,649
125: 987,1048,230,336,485,478
126: 900,142
127: 133,218,1057
128: 374,954,877,856
129: 629,1038,552,974
130: 747,497,450,391
131: 1003
132: 227,311,586,522
133: 127,899,139,510
1125: 924,562,1086
135: 827,642,203
1098: 1130,246,215,767
137: 782,438,175
138: 821,904,266,619,736,838
139: 133,899,730,510
140: 592,386,482
1060: 335,741,1077,508
142: 245,126,538
1093: 1015,999,120,1071
144: 147,1128
145: 977,942,711,460
1169: 429,275,1012,80
147: 1128,144
148: 339
1038: 653,328,629,129
150: 695,500,8,282
151: 558,835,897
1086: 910,180,511,924,1125
153: 946,876,739
154: 969,641,355,667,1032,533
155: 503,530
156: 1068,528,17,1145
157: 15,475,755,224
158: 1132,99,337,606,1088
159: 67,309,586,522,441
160: 659,204
161: 108,1160
162: 733,90,110,751
163: 563,189,882,869
164: 1028,422,823,887,1112
165: 546,259,297,483
1153: 940,665,465
167: 1163
168: 822,102,1061
169: 349,527
170: 987,1071
1107: 1069
172: 772,549,1055,428,1167
173: 893,34,1017
174: 40,1037,399,281
175: 781,137,242
1096: 333
177: 1163,615,1079
178: 332
179: 59,783,426
180: 599,511,1086
181: 620,597
1081: 878,332
183: 231,667,593,100,267,1032
1089: 
185: 
186: 476,23,1079,68
187: 219,327
1154: 666,575,725,524
189: 163,305,869
190: 457,272,412
191: 693,425,859
192: 1115,296,608
193: 992,502
194: 983,956,11,449,29
195: 596,481,862
1048: 125,1071,223,230,336
1059: 568,555
198: 298,600,413
199: 966,403,614,1040
200: 1138,691,1129,953
201: 1024,570,879,25
1078: 524,404,1113,1018
203: 731,1147,135
204: 885,1043,160
205: 371,445,717
1016: 1147,858,85
207: 1103,1161,940
208: 637
209: 520
210: 225,424,605
211: 709,905,701,713
212: 73,223,270
213: 786,256,706,495
214: 815,835,423,599
215: 746,1041,926,767,1098
216: 1138,691
217: 932,664
218: 1164,127,1057,306
219: 187,327
220: 948
221: 360,49,1136,643,688
222: 57,585,81
223: 73,212,1048,336
224: 823,157,607
225: 601,210,493,424
226: 672
227: 132,282,632,522
228: 316,553,656
229: 888,789,513,712
230: 336,125,1048,485,535
231: 355,183,667,898,50,593
232: 25,658,769
1168: 380,702,1013
234: 689,516,759
235: 748,1119,359
236: 676
1061: 790,739,168
238: 110,90
239: 749
240: 1122,689
241: 718,75,100,894
242: 175,253
243: 440,1066,755,1112
1150: 345
245: 675,900,142,538,114,973
246: 1130,1098,1131
247: 271,727,1010,394,78
248: 357,473
249: 269,1011,454
250: 1155,1120,467,645,820
1083: 259,649,1157,1047,124
1035: 268,877
253: 33,242,817
254: 489
255: 774,1139,1116,19
256: 213,786,1042,495
257: 1097,87,743,395
258: 
259: 297,1083,649,165,483,1157
260: 847
261: 
262: 94,362,1009
1143: 651,1114,760,665
264: 717,980
1114: 1143
266: 138,84,619,802,838
267: 1032,100,183,718
268: 1035,329,1027
269: 249
270: 212,396
271: 953,247,727,1010,691,331
272: 457,190,949,831,308,412
1101: 498,479,689
1131: 246,632,1030
275: 429,1169,1012,623
276: 56
277: 569,29,914,449
1102: 766,1149,1069
1126: 1158,630,560
280: 1170,778,631
281: 898,294,399,174,1037
282: 227,311,1018,695,150,8
283: 1022,949,554,797,1049,341
284: 933
1119: 359,235,748
286: 779,113,1031
287: 489,526,391,446
288: 401,101
289: 682,1039,330
290: 653,328
291: 818,1117,89
292: 819,31
1052: 1109,1073,843
294: 281,898,399
295: 47
296: 1115,192,556,829,608
297: 259,649,165,616,795
298: 198,427
299: 1034,621,51,1033
300: 1140,1062,991
301: 61,818
1139: 1116,19,255
303: 740,1165,985,1148
304: 928,951
305: 17,1145,189,869
306: 881,218,1164
307: 986,52,1106
308: 341,412,949,272,1151
309: 159,441
310: 935,1099,395
311: 132,282,1018,1092
312: 418,1111,459,815
313: 905,34,1027
314: 
315: 444,26,57,585,995
316: 228,807
1049: 722,797,283,341
318: 
1070: 403,14,810,21
320: 1019,1023,352
321: 567,118,1053
322: 742,1014,718
323: 917,780,486,347,1043,370
324: 687,1036
1028: 164,422,887,1112,604,965
326: 744,116,970
327: 105,187,219,760
328: 653,1038,290,476
329: 368,268,1027
330: 1152,289,1039
331: 642,1020,691,271,727
332: 178,1081
333: 1096,748
334: 112,1054,805,1007
335: 1060,741,734
336: 230,223,125,1048
337: 1165,1148,1132,158
338: 107,534,1146
339: 927,148,116,381
340: 963,1004,1056,409,611
341: 308,283,949,1049
1024: 201,570,781,776,25,658
1037: 40,174,807,281
1103: 207,940,635
345: 372,1150
346: 559,922,961
347: 984,447,875,323,780
348: 948,24,942,377
349: 169,527,535
350: 551,113,779,565
351: 556,581,550,990
352: 88,320,1023
353: 742,1014
1151: 32,308,412,668
355: 231,667,898,154,641
356: 367
357: 248,473,866
358: 1155,1120,1036
359: 1119,235
360: 221,49,1136,1067,1082
361: 745,1019,671
362: 94,262
363: 681,63
364: 52,1106
365: 923,971,469
366: 37,903,753
367: 1085,356
368: 329,676,789
369: 516,993,57
370: 1043,875,323
371: 205,531,1,980,699
372: 345,405
373: 1023,44
374: 128,877,452,600,587
1128: 388,19,147,144
376: 428,519,1144,952,491
377: 348,948,942,939
1160: 397,161,528
1116: 894,1139,255
380: 1168,1013,397
381: 116,339,970
1164: 218,9,306
1077: 1060,741,508
384: 917,119,62,40
1074: 775
386: 140,592,482,89
1033: 764,51,621,299
388: 1128,19,774
1066: 440,243,923
390: 704,96
391: 572,446,130,287
392: 932,1022,715,402
393: 
394: 858,85,247,78
395: 425,310,935,257
396: 1064,270
397: 1160,380,1013
398: 730
399: 885,174,281,294
400: 862,1135,621,1034
401: 1044,288
402: 392
403: 14,1070,199
404: 1062,991,824,1113,524,1078
405: 372,120
1075: 109,848
407: 74,1045,1044
1110: 1104
409: 611,1026,1056,340
410: 729,1004,963
411: 561,750,925
412: 308,190,272,1151
413: 587,198,600,512
1032: 267,183,667,154,417,533
415: 533,969
416: 941,420,417
417: 420,533,1032,416
418: 312,1111,1006,459
419: 656
420: 417,122,941,416
421: 469,519,965,914,604,569
422: 1028,164,607,605
423: 3,815,214
424: 493,225,210,605
425: 395,191,859,22
426: 104,1127,179
427: 452,31,298
428: 376,549,172,952
429: 275,1169,466
430: 826,947
431: 670,537,921,930,801
1084: 1082,918
1030: 632,522,441,1131
434: 41,584,700
1135: 862,400,621,683
436: 595,796,791
437: 802,84
438: 720,137,782
439: 2,646,761,729
440: 1066,243,475,934,755
441: 522,1030,159,309
442: 1152,737
443: 1104,814,620
444: 993,315,26,472
445: 205
446: 572,391,287
447: 347,738,875
448: 812,598,681
449: 29,277,194
450: 947,747,130
451: 1124,1122,490
452: 427,374,954,600
453: 889
454: 1036,1011,249,566,687
455: 729
456: 
457: 190,272,831,596
458: 624
459: 312,418
460: 145,964
461: 794,989,841
462: 37,903,548
463: 547,704,925
1067: 30,360,1136
