0: 867,1005,76
1: 531,701,980,371
2: 990,583
3: 1111,423,815
4: 117,289
5: 586,689,159,67
6: 855,806
7: 435,268,627,870
8: 1098,215,150,1007
9: 758,218,306
10: 864,26,849,995
11: 376,491,29,983,901,216
12: 548,554,797
13: 441,480
14: 403,810,614
15: 475,157
16: 786,213
17: 156,305
18: 55,506,362
19: 708,388,75,774,255
20: 850,79,1028,832
21: 1070,930,1049,883,1039,810
22: 859,1097,425
23: 959,851,186,476,594,68
24: 1043,724,348
25: 232,658,201,754
26: 864,10
27: 878,502
28: 974,552,1053
29: 569,376,11,194,983
30: 1067,863,221
31: 819,292
32: 722,308,668,1034,550
33: 769,253,1042,493,225
34: 905,313,825
35: 233,418,459,318
36: 767,1098,246
37: 572,462,548
38: 57,759,634,1038,861,69,222
39: 1036,686,467,1012
40: 174
41: 436,595,1123,434
1082: 1084,338,107,534
43: 615,551,68,113
44: 361,745,352,373,1019
45: 1118,595,568,499
46: 80,1006,123,996,91
47: 144
1043: 24,724,262,590,82
49: 221,360,688
50: 483,124,294,898
51: 764,299,439
52: 364,1106,307
1068: 156,528
54: 393,1012,806
55: 18,995,1008,745
56: 71
57: 759,38,369,585,222
58: 946,1124,790
59: 426,179
60: 863,643,625
61: 751,733,301,818
62: 984,780,119
63: 881
64: 558,972,275
65: 963,340
1085: 500,991,300
67: 309,5,159
68: 594,962,186,43,23
69: 1030,222,38,861,994
70: 352,709
71: 56
72: 743,206,627
73: 223,212,115
74: 121,401,673
75: 918,1116,19,708
76: 1005,0,341,722
77: 1124,490
78: 85,813,394
79: 850,20,832,680
80: 46,1006,91,133,466
81: 622,585,1030,222
82: 94,262,590,1043
83: 542,501,868
84: 888,487,1024,802
85: 276,858,394,591,78
86: 1003,546,453
87: 257,477,982,944
88: 980,320,657
89: 1117,702
90: 733,238,162
91: 269,996,80,46,466
92: 507,559
93: 700,434,1046,359,889
94: 262,82,347
95: 560,271,945,200,958
96: 304,951
1099: 982,310
1064: 396
99: 158,986
100: 593,183,267,241
101: 856,1045,435,268,792
102: 666,168,725
103: 314,142,523
104: 1047
105: 760,578,465
106: 677,736,879
107: 338,1067,360,1082
108: 161
109: 151,1075,558
110: 614,162,238
111: 839,793,955,573
112: 334,1054
113: 779,286,43,551,350,962
114: 574,538,330,245
115: 73
116: 744,326,339,970,381
117: 4,330
118: 799,321
119: 62,384
120: 405,999,1093
121: 407,957,74,638,673
122: 415,968,420
123: 842,848,46,996
124: 294,50,483
125: 987,230,485,478
126: 536,416
127: 139,133,218,466,1057
128: 374,954,877,856
129: 328,959,166
130: 747,450
131: 757
132: 227,1007,282,311
133: 899,127,80,466
1125: 644,562,1086,924
135: 827,642
1098: 8,246,215,767,36
137: 437,438,540,782
138: 821,266,619,838
139: 899,127,510
140: 556,592,482
1060: 335,741,1077,508
142: 538,103,314
1093: 999,120,1071
144: 47,992
145: 977,711,460,964
146: 195,1080,596,646,583
147: 534,1084,708
148: 339
1038: 634,309,38,861
150: 282,8,1007
151: 109,897,835,558
1086: 910,924,1125
153: 876,564,946
154: 969,355,533
155: 503,530,575
156: 1068,17
157: 755,15,475
158: 99,337,1088,606
159: 5,586,522,67
160: 204,1047,453,659
161: 108,528
162: 110,1013,733,90,751
163: 563,189,869,882
164: 1112,823,965,887,422
165: 546,259,483
166: 129
167: 
168: 822,739,102
169: 349,244,527
170: 987
1107: 1069
172: 772,549,1055,428,517
173: 368,313,893,487,825
174: 40,399,281
175: 242,1017
1096: 333
177: 615
178: 1014,1081,332
179: 738,426,59
180: 191,1031,214
181: 620,597
1081: 1014,178,878,332
183: 593,100,231,267
1089: 
185: 
186: 1079,476,23,68
187: 363,327,881
1100: 1116,872
189: 163,305,869
190: 272,596
191: 693,1031,425,859,180
192: 296,1115,608
193: 992,1002,502,1014
194: 983,956,569,29
195: 146,457,596
1048: 803,1073,606,909,799
1059: 
198: 427,298,413
199: 640,1013,966,614
200: 929,95,271
201: 570,754,776,25,658
1078: 524,725,498
203: 
204: 160,1047,486,659,885
205: 371,717,445
206: 288,627,743,72
207: 1072,1103,579
208: 637
209: 
210: 224,931,225,605
211: 905,701,713
212: 73,223,270
213: 677,16,256
214: 599,180
215: 926,767,8,1098
216: 901,1020,491,11,952
217: 903,932,424,664
218: 466,127,9,1057
219: 998,363,327,812
220: 1040,948
221: 360,49,643,30,688
222: 1030,69,57,38,585,81
223: 73,212,336
224: 607,931,210,232
225: 33,931,210
226: 254,1037,939,1040,880,684
227: 132,1007,522,632
228: 488,316,553,656
229: 789,676,937,712,513
230: 125,485,535,514
231: 355,593,183
232: 25,658,224,931
233: 35,975,418
234: 516,634
235: 748,359,1127,889
236: 676,937,541,674
1061: 790
238: 523,1032,110,90
239: 749
240: 689,1101
241: 718,267,100,894,378
242: 175,263,1017,253,1042
243: 440,1066,755,1112
244: 169,975
245: 973,675,114
246: 1098,36
247: 1016,953,271,1126,394
248: 357,473,912
249: 936,454
250: 358,1120,820
1083: 649,259,297,795
1035: 612,821,904
253: 33,769,1042,242,817,493,1017
254: 1037,226,684
255: 515,774,322,1116,19
256: 879,382,677,213
257: 1097,87,395
258: 917,384
259: 297,165,483,1083
260: 
261: 847
262: 94,509,590,82,1043
263: 242,1042
264: 711,460
1114: 651,665,635,1103
266: 619,138,802
267: 1063,718,241,100,183
268: 7,101,792,329,1044
269: 996,91,466
270: 212,396
271: 953,95,200,1016,247
272: 190,457,831,949
1101: 498,1018,240
1080: 146,646
275: 972,623,64,429
276: 85,858
277: 862,680,884,1033
1102: 766,1069
1126: 813,630,394,247,953
280: 714,778,631,981
281: 898,399,294,174
282: 695,150,311,132,1007
283: 341,797,554,392,715
284: 
1119: 1046,748,359
286: 113,779,962,957,401
287: 446,526
288: 206,627,435
289: 973,682,4
290: 803,629,909,653
291: 818
292: 849,819,31
1052: 1109,1073,843
294: 399,124,50,281,898
295: 992,1002
296: 192,1115,829,608
297: 259,795,1083
298: 671,198,361
299: 400,51,439,809
300: 1062,991,1085
301: 61,818
302: 1010
303: 337,740,985,639
304: 96,951
305: 869,189,17
306: 922,9
307: 52,1106
308: 32,412,550
309: 67,1038,441
310: 935,1099,395
311: 1092,282,695,132,525
312: 418,1111,815
313: 1027,938,173,34,825
314: 103,1039,142
315: 585
316: 228,553
1049: 1070,930,21,403,474
318: 459,35
1070: 21,1049,403,810,474
320: 471,373,1009,1001,657,88
321: 1053,118
322: 515,255,894,718,353
323: 917,370
324: 698,358,687,566
1028: 850,647,20,967,664
326: 744,116,970
327: 363,187,219
328: 129,476,959
329: 938,1044,268,792
330: 973,114,117
331: 642,727
332: 1081,178
333: 1096
334: 112,1054,805
335: 1060,741,734
336: 1071,223
337: 303,740,639,1088,158
338: 107,1082,534
339: 927,148,116,381
340: 65,963,1004,611,409
341: 283,797,1005,76
1024: 487,825,84,438
1037: 497,254,226,489
1103: 207,1072,1114,940,635
345: 372
346: 559,758,961,922
347: 984,854,94
348: 948,24,942
349: 169,527,535
350: 551,113,779,565
351: 412,581,550,990
352: 361,44,70,373,1001
353: 742,515,322
1063: 718,267,742
355: 231,154
356: 367
357: 248,473,730,866
358: 250,1120,687,324
359: 235,748,1046,1119,93,889
360: 221,49,1067,107
