0: 83,867,797
1: 70,352,320,657,1001
2: 990,583
3: 1111,1006
4: 117,289
5: 525,586,689
6: 855,806
7: 288,627,101,435
8: 1098,215,150
9: 758,218,306
10: 671,849,995
11: 376,491,29,216,952
12: 867,797,572,865
13: 441,1007,480,1046
14: 403,614
15: 754,382,1035,157
16: 786,213
17: 156,305
18: 836,509,1030,506
19: 75,708,774,255
20: 784,664,871,850
21: 930,801,122
22: 859,1097,425
23: 959,476,851,186,594,68
24: 942,348,1009,590,82
25: 232,658,1035,201,754
26: 
27: 878
28: 974,552,1053
29: 569,1004,376,11,194,983
30: 1067,863
31: 933,819
32: 873,722,308,668
33: 769,253,493,770,1028
34: 905,825,313
35: 233,318
36: 767,1098
37: 391,572,865,1022
38: 69,634,57,759,222
39: 820,936
40: 1043,316,488,174
41: 595,434,436
1082: 107,1084,338,147
43: 615,551,68,113
44: 320,506,509,184,724,471
45: 595,499,791,436
46: 80,91,429,64,123,996
47: 144
1043: 384,40,220,316
49: 221,360,688
50: 124,294,898,1040
51: 299,134,1020,764,827
52: 740,1106,1021,307
1068: 156,528
54: 1087,393,847,1036
55: 745,361,995,671
56: 
57: 759,585,38,222
58: 710,77
59: 179
60: 863,643,1095,616
61: 733,90
62: 220,1049,948
63: 1011,922,881
64: 429,123,46
65: 963
1085: 500,991,300
67: 159
68: 594,962,186,43,23
69: 38,222
70: 1,373,709,352
71: 726,703,661
72: 743,206,627
73: 223,212,115
74: 121,401,673
75: 890,918,708,1100,19,255
76: 341,83,722
77: 710,58,1045
78: 813,394,85
79: 707,680,832,884,277
80: 91,133,46,429
81: 362,622,222,585
82: 590,1019,984,24
83: 0,76,542
84: 888,266,487,802
85: 394,858,78,591
86: 165,546,453,700,659
87: 257,477,982,944
88: 980,1001,711,657,264
89: 592,702,1032
90: 148,733,61,927
91: 80,133,46,269,996,466
92: 507,559
93: 434,359,889
94: 347,262,1019
95: 560,945
96: 304
1099: 982,310
1064: 396
99: 158,696,458,986,606
100: 593,183,267
101: 856,435,7
102: 168,725,1061,1078,1101
103: 314,142,723,523
104: 875,160
105: 760,465
106: 736,677,838
107: 1082,1067,360
108: 161
109: 1075,897,835,151
110: 614,162
111: 947,955,793
112: 334,1054
113: 779,43,551,350,962
114: 574,538,330,245
115: 73
116: 744,326,970,381
117: 4,330
118: 799,909
119: 984,780,917,1009
120: 405,999,1093
121: 957,74,853,407,638,673
122: 415,419,21
123: 842,64,46,996
124: 1047,50,483,294
125: 987,230,485,478
126: 416
127: 899,1057,133,466
128: 374,954,877
129: 328,959,166
130: 747,446,391
131: 632,246,1007,757,480,1096
132: 227,150,522,282,311
133: 80,91,466,899,127
134: 299,51,285,827,340
135: 703,1056,203,642,726
1098: 8,215,767,36
137: 437,1024,1042
138: 266,821,781
139: 730,899,1029,510
140: 556,705,482
1060: 335,741,1077,508
142: 538,103,314,723
1093: 999,120,1071
144: 178,47
145: 1023,711,942
146: 195,680,862,1080
147: 534,1014,1082,1084,708
148: 90,301,685
1038: 917,258,447,323,780
150: 132,227,282,8
151: 599,558,214,109,835
1086: 644,674,910,1044,924
153: 876,913,564
154: 641,231,355
155: 666,530,575
156: 1068,17
157: 755,1035,15,475
158: 696,99,986,337,639,1088,606
159: 522,586,67
160: 235,204,104
161: 108,528
162: 733,110,751
163: 563,882,869
164: 971,823,422,887,965
165: 86,546,659,483
166: 816,129
167: 
168: 102,725,822,1048,739,790,1061
169: 349,244,527
170: 987
1107: 1069
172: 772,549,428,1055,517
173: 368,893,487
174: 488,641,399,40,281
175: 776,263,769
1096: 480,333,131,757,555
177: 615
178: 144,342
179: 738,994,59
180: 191,1006
181: 958,721,597,620,1010
1081: 332
183: 593,100,231,1063,267,667,1002
184: 262,509,44,724,590,1019
185: 209,520,530
186: 1079,476,23,68
187: 922,578,881
1100: 894,378,872,890,75
189: 397,1013
190: 272
191: 180,425,859
192: 663,296,608
193: 502,515,774,388
194: 983,956,1004,569,29,648
195: 596,146,457,481
1048: 822,666,168,725
1059: 
198: 298,1027
199: 640,614
200: 1016,571,929
201: 25,658,754
1078: 498,1101,524,102,479
203: 642,727,1026,800,135,276
204: 235,160,1047
205: 371,980,717,430,379
206: 288,627,743,72
207: 579
208: 637,1058
209: 185,1041
210: 424,931,225,224,784,605
211: 701,905
212: 73,223,270
213: 786,16,677
214: 599,151,815,423,835
215: 926,767,8,1098
216: 331,952,691,11,983
217: 424,664
218: 1057,9,306
219: 998,327,651,950
220: 62,316,1049,384,1043,684
221: 360,49,643,688
222: 81,622,57,585,38,69
223: 73,212,336
224: 607,931,210,605
225: 424,931,210,1028,770
226: 880,1037,497
227: 132,150,522
228: 553,684,656,1039,316,488
229: 676,937
230: 125,485,535,514
231: 1040,355,593,183,154,1002
232: 25,658,1035,931
233: 35,975
234: 516
235: 160,204,453,1047,659
236: 870,644,674,676,937
1061: 790,375,102,168
238: 690,1065
239: 749
240: 689,498,1101,325,1018
241: 718,267,322,894,378
