0: 797,867,83
1: 70,273,352,320,660,657
2: 410,729,1022,655,66,829
3: 860,935,527,693,1036
4: 117,1014,1005,289,1034
5: 67,586,240,634
6: 855,806
7: 288,435,101,149
8: 632,36,767,555,293
9: 218,922,306
10: 671,849,995
11: 491,376,200,216
12: 
13: 317,441,159,480,131
14: 810,403
15: 224,232,157,607
16: 1033,213
17: 305
18: 622,362,94
19: 833,774,388,295
20: 784
21: 883,415,420
22: 425,395,72,541
23: 959,851,476,68,594
24: 984,119,804
25: 232,658,754
26: 
27: 515,502,342
28: 1053,354,719
29: 983,621,764,956,901
30: 1067
31: 819
32: 722,283,873
33: 225,769,770,253,493
34: 905,313
35: 233,418,1027,811
36: 805,557,767,215,8,632
37: 391,572,865
38: 69,222
39: 820,936,1011
40: 316,220,174
41: 436,613,93,434,584
42: 1055,200
43: 68,113,551,186
44: 471,509,320,724
45: 1038,499,568,434,93
46: 80,91,123,996
47: 532,147
48: 500
49: 107,360,688,918
50: 898,641,259
51: 299,827,808,146,1032,439
52: 307,986,458,503,624
53: 514,350,478,87
54: 897,459,260
55: 361,995,671
56: 279,661,71
57: 759,222
58: 617,77,710
59: 293,757,179,408,333
60: 1043,165,863,616,643
61: 733,162,679
62: 948,939,684,497
63: 188,881
64: 842,1011,109,686,429,123
65: 1025,963
66: 655,412,990,829,2
67: 309,586,5,861
68: 43,186,23
69: 38,994
70: 273,1,709,373
71: 703,726,661,56,988
72: 743,627,22
73: 115,223
74: 206,401
75: 894,322,708,890,774,255
76: 797,722,283
77: 58,492
78: 85,394,813
79: 850,277,862
80: 91,133,46,730
81: 362,585
82: 738,875
83: 582,0
84: 888,619,487,438,266
85: 78,394,276,591
86: 453,584,659,700
87: 982,514,53,477,779
88: 657,660,711,205,264,717
89: 140,1017,702,380
90: 733,927,148
91: 80,133,46,269
92: 507,559
93: 41,436,45,434,791,1047
94: 854,622,18
95: 247,271,929,958,858,560
96: 934,951,251,1029,304,704
97: 724,590,262
98: 615
99: 458,696,158,799,876,846
100: 378,241,593
101: 149,435,7,877
102: 168,1061,325,524
103: 314,810,142,723,523
104: 426,453,235
105: 760,465
106: 736,838,879,677,256
107: 49
108: 
109: 558,694,686,429,64
110: 735,238,1065,1037
111: 947,763,793,955
112: 1054,1030,334
113: 43,551,350,962
114: 574,416,538,245,1005
115: 73
116: 744,326,970,381
117: 4,1014,785,330,1049
118: 913,354
119: 917,24,984
120: 588,987
121: 407,853,673,638
122: 930
123: 429,64,842,996,46
124: 399,483,259,898
125: 230,565,1044,336
126: 533
127: 139,1057,788
128: 374,954,284,433,856
129: 166,816,328,959
130: 450,391
